DCI / Nome Genérico;Nome do Medicamento;Forma Farmacêutica;Dosagem;Estado de Autorização;Genérico;Titular de AIM;Stock
Duloxetina;Duloxetina Mylan;Cápsula gastrorresistente;30 mg;Autorizado;S;Generics (UK), Ltd.;50,,,,,,,,
Duloxetina;Duloxetina Mylan;Cápsula gastrorresistente;60 mg;Autorizado;S;Generics (UK), Ltd.;50,,,,,,,,
Duloxetina;Duloxetina Pentafarma;Cápsula gastrorresistente;30 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50,,,,,,,,
Duloxetina;Duloxetina Pentafarma;Cápsula gastrorresistente;60 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50,,,,,,,,
Duloxetina;Duloxetina Pharmakern;Cápsula gastrorresistente;20 mg;Autorizado;S;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;50,,,,,,,
Duloxetina;Duloxetina Pharmakern;Cápsula gastrorresistente;30 mg;Autorizado;S;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;50,,,,,,,
Duloxetina;Duloxetina Pharmakern;Cápsula gastrorresistente;40 mg;Autorizado;S;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;50,,,,,,,
Duloxetina;Duloxetina Pharmakern;Cápsula gastrorresistente;60 mg;Autorizado;S;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;50,,,,,,,
Duloxetina;Duloxetina Teva;Cápsula gastrorresistente;30 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Duloxetina;Duloxetina Teva;Cápsula gastrorresistente;60 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Duloxetina;Duloxetina Zentiva;Cápsula gastrorresistente;30 mg;Autorizado;S;Zentiva k.s.;50
Duloxetina;Duloxetina Zentiva;Cápsula gastrorresistente;60 mg;Autorizado;S;Zentiva k.s.;50
Duloxetina;Duloxetina ratiopharm;Cápsula gastrorresistente;30 mg;Autorizado;S;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;50,,,,,,,,
Duloxetina;Duloxetina ratiopharm;Cápsula gastrorresistente;60 mg;Autorizado;S;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;50,,,,,,,,
Duloxetina;Duloxetina toLife;Cápsula gastrorresistente;30 mg;Autorizado;S;ToLife - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Duloxetina;Duloxetina toLife;Cápsula gastrorresistente;60 mg;Autorizado;S;ToLife - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Duloxetina;Xeristar;Cápsula gastrorresistente;30 mg;Autorizado;N;Eli Lilly Nederland, B.V.;50,,,,,,,,
Duloxetina;Xeristar;Cápsula gastrorresistente;60 mg;Autorizado;N;Eli Lilly Nederland, B.V.;50,,,,,,,,
Duloxetina;Yentreve;Cápsula gastrorresistente;20 mg;Autorizado;N;Eli Lilly Nederland, B.V.;50,,,,,,,,
Duloxetina;Yentreve;Cápsula gastrorresistente;40 mg;Autorizado;N;Eli Lilly Nederland, B.V.;50,,,,,,,,
Dutasterida;Avodart;Cápsula mole;0.5 mg;Autorizado;N;Glaxo Wellcome Farmacêutica, Lda.;50,,,,,,,,
Dutasterida;Duagen;Cápsula mole;0.5 mg;Autorizado;N;GlaxoSmithkline Produtos Farmacêuticos, Lda.;50,,,,,,,,
Dutasterida;Dutasterida Cipla;Cápsula mole;0.5 mg;Autorizado;S;Cipla Europe, N.V.;50,,,,,,,,
Dutasterida;Dutasterida Ratiopharm;Cápsula mole;0.5 mg;Autorizado;S;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;50,,,,,,,,
Dutasterida;Dutasterida Sandoz;Cápsula mole;0.5 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Dutasterida;Dutasterida Teva;Cápsula mole;0.5 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Dutasterida + Tansulosina;Combodart;Cápsula;0.5 mg + 0.4 mg;Autorizado;N;Glaxo Wellcome Farmacêutica, Lda.;50,,,,,,,,
Dutasterida + Tansulosina;Juteo;Cápsula;0.5 mg + 0.4 mg;Autorizado;N;GlaxoSmithkline Produtos Farmacêuticos, Lda.;50,,,,,,,,
Ebastina;Ebastina Alter;Comprimido revestido por película;10 mg;Autorizado;S;Alter, S.A.;50,,,,,,,,
Ebastina;Ebastina Alter;Comprimido revestido por película;20 mg;Autorizado;S;Alter, S.A.;50,,,,,,,,
Ebastina;Ebastina Cinfa;Comprimido revestido por película;10 mg;Autorizado;S;Cinfa Portugal,Lda.;50,,,,,,,,
Ebastina;Ebastina Cinfa;Comprimido revestido por película;20 mg;Autorizado;S;Cinfa Portugal,Lda.;50,,,,,,,,
Ebastina;Ebastina Generis;Comprimido revestido por película;10 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Ebastina;Ebastina Generis;Comprimido revestido por película;20 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Ebastina;Ebastina Mylan;Comprimido revestido por película;10 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Ebastina;Ebastina Mylan;Comprimido revestido por película;20 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Ebastina;Ebastina Qualitec;Comprimido orodispersível;10 mg;Autorizado;S;   QualitecFarma, S.L.;50,,,,,,,,
Ebastina;Ebastina Qualitec;Comprimido orodispersível;20 mg;Autorizado;S;   QualitecFarma, S.L.;50,,,,,,,,
Ebastina;Kestine;Comprimido revestido por película;10 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Ebastina;Kestine;Liofilizado oral;10 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Ebastina;Kestine;Solução oral;1 mg/ml;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Ebastina;Kestine 20;Comprimido revestido por película;20 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Econazol;Gyno-Pevaryl;Creme vaginal;10 mg/g;Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol;Gyno-Pevaryl;Óvulo;150 mg;Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol;Gyno-Pevaryl Combipack;Creme vaginal + Óvulo;(10 mg/g) + (150 mg);Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol;Pevaryl;Creme;10 mg/g;Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol;Pevaryl;Pó para pulverização cutânea;10 mg/g;Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol;Pevaryl;Solução para pulverização cutânea;10 mg/g;Autorizado;N;Johnson & Johnson, Lda.;50,,,,,,,,
Econazol + Triamcinolona;Pevisone;Creme;10 mg/g + 1 mg/g;Autorizado;N;Janssen-Cilag Farmacêutica, Lda.;50,,,,,,,,
Eculizumab;Soliris;Concentrado para solução para perfusão;300 mg;Autorizado;N;Alexion Europe SAS;50
Edoxabano;Lixiana;Comprimido revestido por película;15 mg;Autorizado;N;Daiichi-Sankyo Europe GmbH;50
Edoxabano;Lixiana;Comprimido revestido por película;30 mg;Autorizado;N;Daiichi-Sankyo Europe GmbH;50
Edoxabano;Lixiana;Comprimido revestido por película;60 mg;Autorizado;N;Daiichi-Sankyo Europe GmbH;50
Efavirenz;Efavirenz Aurobindo;Comprimido revestido por película;600 mg;Autorizado;S;Aurobindo Pharma (Portugal), Unipessoal Lda.;50,,,,,,,,
Efavirenz;Efavirenz Aurovitas;Comprimido revestido por película;600 mg;Autorizado;S;Aurovitas Unipessoal, Lda.;50,,,,,,,,
Efavirenz;Efavirenz Farmoz;Comprimido revestido por película;600 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50,,,,,,,,
Efavirenz;Efavirenz Mylan;Comprimido revestido por película;600 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Efavirenz;Efavirenz Sandoz;Comprimido revestido por película;600 mg;Autorizado;S;   Sandoz Farmacêutica, Lda.;50,,,,,,,,
Efavirenz;Efavirenz Teva;Comprimido revestido por película;600 mg;Autorizado;S;Teva Pharma, B.V.;50,,,,,,,,
Efavirenz;Efavirenz Zentiva;Comprimido revestido por película;600 mg;Autorizado;S;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Efavirenz;Stocrin;Comprimido revestido por película;200 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Comprimido revestido por película;50 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Comprimido revestido por película;600 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Cápsula;100 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Cápsula;200 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Cápsula;50 mg;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Stocrin;Solução oral;30 mg/ml;Autorizado;N;Merck Sharp & Dohme, Ltd.;50,,,,,,,,
Efavirenz;Sustiva;Comprimido revestido por película;600 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Efavirenz;Sustiva;Cápsula;100 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Efavirenz;Sustiva;Cápsula;200 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Efavirenz;Sustiva;Cápsula;50 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Efavirenz + Emtricitabina + Tenofovir;Atripla;Comprimido revestido por película;600 mg + 200 mg + 245 mg;Autorizado;N;Bristol-Myers Squibb and Gilead Sciences Ltd;50
Efedrina;Efedrina  Aguettant;Solução injetável em seringa pré-cheia;3 mg/ml;Autorizado;N;Laboratoire Aguettant, S.A.;50,,,,,,,,
Efedrina;Efedrina Labesfal;Solução injetável;50 mg/1 ml;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Efedrina;Spinefe;Solução injetável;30 mg/ml;Autorizado;N;Laboratórios Basi - Indústria Farmacêutica, S.A;50,,,,,,,,
Efluornitina;Vaniqa;Creme;115 mg/g;Autorizado;N;Almirall, S.A;50,,,,,,,,
Electrólitos;Accusol 35;   Solução para hemodiálise, hemodiafiltração e hemofiltração;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,,
Electrólitos;Addaven;Concentrado para solução para perfusão;Associação;Autorizado;N;Fresenius Kabi Pharma Portugal, Lda.;50,,,,,,,,
Electrólitos;Biphozyl;Solução para hemodiálise ou hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos;Esterofundina A Braun;Solução para perfusão;Associação;Autorizado;N;B. Braun Medical, Lda.;50,,,,,,,,
Electrólitos;Hemosol B0;Solução para hemodiálise ou hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos;Ionosteril;Solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos;Ionosteril Lact;Solução injetável;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos;Ionoven;Solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos;Isofundin;Solução para perfusão;Associação;Autorizado;N;B. Braun Melsungen A.G.;50
Electrólitos;Lactasol;Solução para hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos;Peditrace;Concentrado para solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos;Phoxilium;Solução para hemodiálise ou hemofiltração;1.2 mmol/l;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos;Plasma-Lyte (pH 7,4) 148 Viaflo;Solução para perfusão;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,,
Electrólitos;Plegisol;Solução injetável;Associação;Autorizado;N;Hospira Enterprises B.V.;50
Electrólitos;Solução Polielectrolítica S sem Glucose;Solução injetável;Associação;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Electrólitos;Solução polielectrolítica Basi;Solução para perfusão;Associação;Autorizado;N;Laboratórios Basi - Indústria Farmacêutica, S.A;50,,,,,,,,
Electrólitos;Tracutil;Concentrado para solução para perfusão;Associação;Autorizado;N;B. Braun Medical, Lda.;50,,,,,,,,
Electrólitos + Gelatina;Gelaspan;Solução para perfusão;Associação;Autorizado;N;B. Braun Melsungen A.G.;50
Electrólitos + Gelatina;Geloplasma;Solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos + Glucose;Accusol 35 Potássio 2 mmol/l;   Solução para hemodiálise, hemodiafiltração e hemofiltração;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,,
Electrólitos + Glucose;Accusol 35 Potássio 4 mmol/l;   Solução para hemodiálise, hemodiafiltração e hemofiltração;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,,
Electrólitos + Glucose;Bicavera 1.5% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Bicavera 2.3% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Bicavera 4.25% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;CAPD 2 - Sleep Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD 2 - Standard;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD 3 - Sleep Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD 3 - Standard;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD 4 - Sleep Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD 4 - Standard;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD/DPCA 17;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;CAPD/DPCA 18;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;CAPD/DPCA 19;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;CAPD/DPCA 2 - Stay-Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD/DPCA 3 - Stay-Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;CAPD/DPCA 4 - Stay-Safe;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Portugal, S.A.;50,,,,,,,,
Electrólitos + Glucose;Dioralyte (Sabor Groselha);Pó para solução oral;Associação;Autorizado;N;Korangi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Electrólitos + Glucose;Dioralyte (Sabor Limão);Pó para solução oral;Associação;Autorizado;N;Korangi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Electrólitos + Glucose;Dioralyte(Sabor Ananas);Comprimido efervescente;Associação;Autorizado;N;Korangi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Electrólitos + Glucose;Dioralyte(Sabor Neutro);Comprimido efervescente;Associação;Autorizado;N;Korangi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Electrólitos + Glucose;Dioralyte(Sabor Neutro);Pó para solução oral;Associação;Autorizado;N;Korangi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Electrólitos + Glucose;Esterofundina A-G Braun;Solução para perfusão;Associação;Autorizado;N;B. Braun Medical, Lda.;50,,,,,,,,
Electrólitos + Glucose;Hemolactol;Solução para hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos + Glucose;Ionosteril G;Solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Electrólitos + Glucose;Kalilactasol;Solução para hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos + Glucose;Multibic 2 mmol/l Potássio;Solução para hemofiltração;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Multibic 3 mmol/l Potássio;Solução para hemofiltração;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Multibic 4 mmol/l potássio;Solução para hemofiltração;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Multibic Isenta de Potássio;Solução para hemofiltração;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Multilac;Solução para hemofiltração;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;Physioneal 35 Glucose 1,36% p/v/ 13,6 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 35 Glucose 1,36% p/v/ 13,6 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 35 Glucose 2,27% p/v/ 2,27 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 35 Glucose 2,27% p/v/ 22,7 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 35 Glucose 3,86% p/v/ 38,6 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 35 Glucose 3,86% p/v/ 38,6 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 1,36% p/v / 13,6 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 1,36% p/v/ 13,6 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 2,27% p/v / 22,7 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 2,27% p/v/ 22,7 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 3,86% p/v / 38,6 mg/ml;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Physioneal 40 Glucose 3,86% p/v/ 38,6 mg/ml Clear-Flex;Solução para diálise peritoneal;Associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,
Electrólitos + Glucose;Plasma-Lyte 148 e Glucose 5% p/v Viaflo;Solução para perfusão;associação;Autorizado;N;Baxter Médico-Farmacêutica, Lda.;50,,,,,,,,
Electrólitos + Glucose;Prismasol 2 mmol/l Potassio;Solução para hemodiálise ou hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos + Glucose;Prismasol 4 mmol/l Potassio;Solução para hemodiálise ou hemofiltração;Associação;Autorizado;N;Gambro Lundia, AB;50,,,,,,,,
Electrólitos + Glucose;Solução Polielectrolítica S com Glucose;Solução injetável;Associação;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Electrólitos + Glucose;Solução de Manutenção com Cálcio e Potássio Braun;Solução para perfusão;Associação;Autorizado;N;B. Braun Medical, Lda.;50,,,,,,,,
Electrólitos + Glucose;Solução polielectrolítica com glucose Basi;Solução para perfusão;Associação;Autorizado;N;Laboratórios Basi - Indústria Farmacêutica, S.A;50,,,,,,,,
Electrólitos + Glucose;balance 1.5% glucose 1.25 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;balance 1.5% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;balance 2.3% glucose 1.25 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;balance 2.3% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;balance 4.25% glucose 1.25 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Glucose;balance 4.25% glucose 1.75 mmol/l cálcio;Solução para diálise peritoneal;Associação;Autorizado;N;Fresenius Medical Care Deutschland GmbH;50
Electrólitos + Hidroxietilamido;PlasmaVolume Redibag;Solução para perfusão;Associação;Autorizado;N;Serumwerk Bernburg A.G.;50
Electrólitos + Hidroxietilamido;Tetraspan;Solução para perfusão;100 mg/ml;Autorizado;N;B. Braun Melsungen A.G.;50
Electrólitos + Hidroxietilamido;Tetraspan;Solução para perfusão;60 mg/ml;Autorizado;N;B. Braun Melsungen A.G.;50
Electrólitos + Hidroxietilamido;Volulyte;Solução para perfusão;Associação;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Eletriptano;Relert;Comprimido revestido por película;20 mg;Autorizado;N;Laboratórios Pfizer, Lda.;50,,,,,,,,
Eletriptano;Relert;Comprimido revestido por película;40 mg;Autorizado;N;Laboratórios Pfizer, Lda.;50,,,,,,,,
Eliglustato;Cerdelga;Cápsula;84 mg;Autorizado;N;Genzyme Europe, B.V.;50,,,,,,,,
Elosulfase alfa;Vimizim;Concentrado para solução para perfusão;1 mg/ml;Autorizado;N;BioMarin Europe Ltd;50
Eltrombopag;Revolade;Comprimido revestido por película;25 mg;Autorizado;N;Novartis Europharm, Ltd.;50,,,,,,,,
Eltrombopag;Revolade;Comprimido revestido por película;50 mg;Autorizado;N;Novartis Europharm, Ltd.;50,,,,,,,,
Eltrombopag;Revolade;Comprimido revestido por película;75 mg;Autorizado;N;Novartis Europharm, Ltd.;50,,,,,,,,
Elvitegravir;Vitekta;Comprimido revestido por película;150 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Elvitegravir;Vitekta;Comprimido revestido por película;85 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Elvitegravir + Cobicistate + Emtricitabina + Tenofovir;Stribild;Comprimido revestido por película;150 mg+150 mg+200 mg+245 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Emedastina;Emadine;Colírio, solução;0.5 mg/ml;Autorizado;N;Alcon Laboratories (UK), Ltd.;50,,,,,,,
Empagliflozina;Jardiance;Comprimido revestido por película;10 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Empagliflozina;Jardiance;Comprimido revestido por película;25 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Empagliflozina + Metformina;Synjardy;Comprimido revestido por película;12.5 mg + 1000 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Empagliflozina + Metformina;Synjardy;Comprimido revestido por película;12.5 mg + 850 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Empagliflozina + Metformina;Synjardy;Comprimido revestido por película;5 mg + 1000 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Empagliflozina + Metformina;Synjardy;Comprimido revestido por película;5 mg + 850 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Emtricitabina;Emtriva;Cápsula;200 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Emtricitabina;Emtriva;Solução oral;10 mg/ml;Autorizado;N;Gilead Sciences International Ltd.;50
Emtricitabina + Rilpivirina + Tenofovir;Eviplera;Comprimido revestido por película;200 mg + 25 mg + 245 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Emtricitabina + Tenofovir;Truvada;Comprimido revestido por película;200 mg + 245 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Enalapril;Cetampril;Comprimido;20 mg;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Enalapril;Cetampril;Comprimido;5 mg;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Enalapril;Enalapril Balpril 20 mg Comprimidos;Comprimido;20 mg;Autorizado;S;Baldacci - Portugal, S.A.;50,,,,,,,,
Enalapril;Enalapril Balpril 5 mg Comprimidos;Comprimido;5 mg;Autorizado;S;Baldacci - Portugal, S.A.;50,,,,,,,,
Enalapril;Enalapril Bluepharma 20 mg comprimidos;Comprimido;20 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50,,,,,,,,
Enalapril;Enalapril Bluepharma 5 mg comprimidos;Comprimido;5 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50,,,,,,,,
Enalapril;Enalapril Ciclum 20 mg comprimidos;Comprimido;20 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Enalapril;Enalapril Ciclum 5 mg comprimidos;Comprimido;5 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Enalapril;Enalapril Farmoz;Comprimido;20 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50,,,,,,,,
Enalapril;Enalapril Generis 20 mg Comprimidos;Comprimido;20 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Enalapril;Enalapril Generis 5 mg Comprimidos;Comprimido;5 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Enalapril;Enalapril Inventis;Comprimido;20 mg;Autorizado;S;Mer Medicamentos, Lda.;50,,,,,,,,
Enalapril;Enalapril Inventis;Comprimido;5 mg;Autorizado;S;Mer Medicamentos, Lda.;50,,,,,,,,
Enalapril;Enalapril Krka;Comprimido;20 mg;Autorizado;S;KRKA Farmacêutica, Sociedade Unipessoal, Lda.;50,,,,,,,
